Pozycja,Zawodnik,Suma_Punktów,Styczen,Luty,Marzec
1,HUBERT CH,52,15,25,12
2,MICHAŁ W.,44,19,6,19
3,OSKI96,41,25,15,1
4,POTULLL,39,12,2,25
5,KORNEL P.,31,4,12,15
6,MIKOŁAJ T.,24,6,10,8
7,JORDAN K,18,0,18,0
8,TOMASZ W,10,10,0,0
9,RAFAŁ G,10,0,0,10
10,ZĄBEK_B,8,8,0,0
11,KAMIL K.,8,0,8,0
12,KOWAL123,6,0,0,6
13,SCOOBANY635,6,2,0,4
14,GOOOF,4,0,4,0
15,ORZEL_,2,1,1,0
16,KLOBUCH,2,0,0,2
17,ADAMWOL,0,0,0,0
18,TOMASZ K.,0,0,0,0
19,RAFAŁ M.,0,0,0,0
20,W PIOTR,0,0,0,0
21,MICHAŁ B.,0,0,0,0
22,GRZEGORZ T.,0,0,0,0
23,M_C,0,0,0,0
24,MAALGOSIA,0,0,0,0
25,MICHAŁ G.,0,0,0,0
